,사용일자,승차총승객수,요일
0,2019-01-01,3419948,1
1,2019-01-02,7621668,2
2,2019-01-03,7873692,3
3,2019-01-04,8270345,4
4,2019-01-05,6062294,5
5,2019-01-06,4408718,6
6,2019-01-07,7824428,0
7,2019-01-08,7913162,1
8,2019-01-09,7815405,2
9,2019-01-10,7977300,3
10,2019-01-11,8351322,4
11,2019-01-12,6282189,5
12,2019-01-13,4501053,6
13,2019-01-14,7680436,0
14,2019-01-15,7826713,1
15,2019-01-16,7891108,2
16,2019-01-17,8034764,3
17,2019-01-18,8361638,4
18,2019-01-19,6259796,5
19,2019-01-20,4530960,6
20,2019-01-21,7736189,0
21,2019-01-22,7929541,1
22,2019-01-23,8034871,2
23,2019-01-24,8082710,3
24,2019-01-25,8438603,4
25,2019-01-26,6350557,5
26,2019-01-27,4635486,6
27,2019-01-28,7845049,0
28,2019-01-29,7948890,1
29,2019-01-30,8039829,2
30,2019-01-31,7899350,3
31,2019-02-01,7979109,4
32,2019-02-02,5079486,5
33,2019-02-03,3412440,6
34,2019-02-04,2941955,0
35,2019-02-05,2837335,1
36,2019-02-06,3741895,2
37,2019-02-07,7401179,3
38,2019-02-08,7913111,4
39,2019-02-09,6002458,5
40,2019-02-10,4360767,6
41,2019-02-11,7942263,0
42,2019-02-12,8084200,1
43,2019-02-13,8163495,2
44,2019-02-14,8255961,3
45,2019-02-15,8594706,4
46,2019-02-16,6619046,5
47,2019-02-17,4745767,6
48,2019-02-18,8000117,0
49,2019-02-19,8046652,1
50,2019-02-20,8226686,2
51,2019-02-21,8272500,3
52,2019-02-22,8613525,4
53,2019-02-23,6803807,5
54,2019-02-24,4985414,6
55,2019-02-25,8120066,0
56,2019-02-26,8265465,1
57,2019-02-27,8345186,2
58,2019-02-28,8581221,3
59,2019-03-01,5930573,4
60,2019-03-02,5921798,5
61,2019-03-03,4647568,6
62,2019-03-04,8201102,0
63,2019-03-05,8251245,1
64,2019-03-06,8378284,2
65,2019-03-07,8603259,3
66,2019-03-08,8989634,4
67,2019-03-09,6954483,5
68,2019-03-10,4881761,6
69,2019-03-11,8382567,0
70,2019-03-12,8390888,1
71,2019-03-13,8513096,2
72,2019-03-14,8610202,3
73,2019-03-15,8822074,4
74,2019-03-16,6819792,5
75,2019-03-17,5080663,6
76,2019-03-18,8367946,0
77,2019-03-19,8544193,1
78,2019-03-20,8394513,2
79,2019-03-21,8527999,3
80,2019-03-22,8919986,4
81,2019-03-23,6567232,5
82,2019-03-24,4958816,6
83,2019-03-25,8317220,0
84,2019-03-26,8574736,1
85,2019-03-27,8533735,2
86,2019-03-28,8609202,3
87,2019-03-29,8982834,4
88,2019-03-30,6394876,5
89,2019-03-31,4741000,6
90,2019-04-01,8261837,0
91,2019-04-02,8406365,1
92,2019-04-03,8527790,2
93,2019-04-04,8600061,3
94,2019-04-05,8941522,4
95,2019-04-06,6635470,5
96,2019-04-07,5359816,6
97,2019-04-08,8482826,0
98,2019-04-09,8418130,1
99,2019-04-10,8372841,2
100,2019-04-11,8702077,3
101,2019-04-12,9012472,4
102,2019-04-13,7231605,5
103,2019-04-14,4589747,6
104,2019-04-15,8365436,0
105,2019-04-16,8527784,1
106,2019-04-17,8595810,2
107,2019-04-18,8422846,3
108,2019-04-19,8785636,4
109,2019-04-20,6734643,5
110,2019-04-21,4789775,6
111,2019-04-22,8277904,0
112,2019-04-23,8320434,1
113,2019-04-24,8500676,2
114,2019-04-25,8422596,3
115,2019-04-26,8859387,4
116,2019-04-27,7265901,5
117,2019-04-28,5133257,6
118,2019-04-29,8484332,0
119,2019-04-30,8899595,1
