,index,일자,요일,승차총승객수,첫확진_전주_승객수,일자19,승차총승객수19,요일19
0,0,2020-01-01,2,3479698.0,8124059.0,2019-01-02,7621668.0,2.0
1,1,2020-01-02,3,7691529.0,8141415.0,2019-01-03,7873692.0,3.0
2,2,2020-01-03,4,8224917.0,8492225.0,2019-01-04,8270345.0,4.0
3,3,2020-01-04,5,6042529.0,6400595.0,2019-01-05,6062294.0,5.0
4,4,2020-01-05,6,4425521.0,4533571.0,2019-01-06,4408718.0,6.0
5,5,2020-01-06,0,7819416.0,7931538.0,2019-01-07,7824428.0,0.0
6,6,2020-01-07,1,7624873.0,8051486.0,2019-01-08,7913162.0,1.0
7,7,2020-01-08,2,7995810.0,8124059.0,2019-01-09,7815405.0,2.0
8,8,2020-01-09,3,8123002.0,8141415.0,2019-01-10,7977300.0,3.0
9,9,2020-01-10,4,8464744.0,8492225.0,2019-01-11,8351322.0,4.0
10,10,2020-01-11,5,6451540.0,6400595.0,2019-01-12,6282189.0,5.0
11,11,2020-01-12,6,4619399.0,4533571.0,2019-01-13,4501053.0,6.0
12,12,2020-01-13,0,7931538.0,7931538.0,2019-01-14,7680436.0,0.0
13,13,2020-01-14,1,8051486.0,8051486.0,2019-01-15,7826713.0,1.0
14,14,2020-01-15,2,8124059.0,8124059.0,2019-01-16,7891108.0,2.0
15,15,2020-01-16,3,8141415.0,8141415.0,2019-01-17,8034764.0,3.0
16,16,2020-01-17,4,8492225.0,8492225.0,2019-01-18,8361638.0,4.0
17,17,2020-01-18,5,6400595.0,6400595.0,2019-01-19,6259796.0,5.0
18,18,2020-01-19,6,4533571.0,4533571.0,2019-01-20,4530960.0,6.0
19,19,2020-01-20,0,8023369.0,7931538.0,2019-01-21,7736189.0,0.0
20,20,2020-01-21,1,8063435.0,8051486.0,2019-01-22,7929541.0,1.0
21,21,2020-01-22,2,8058478.0,8124059.0,2019-01-23,8034871.0,2.0
22,22,2020-01-23,3,7641489.0,8141415.0,2019-01-24,8082710.0,3.0
23,23,2020-01-24,4,3266041.0,8492225.0,2019-01-25,8438603.0,4.0
24,24,2020-01-25,5,2815670.0,6400595.0,2019-01-26,6350557.0,5.0
25,25,2020-01-26,6,3654653.0,4533571.0,2019-01-27,4635486.0,6.0
26,26,2020-01-27,0,3775047.0,7931538.0,2019-01-28,7845049.0,0.0
27,27,2020-01-28,1,7120843.0,8051486.0,2019-01-29,7948890.0,1.0
28,28,2020-01-29,2,7515756.0,8124059.0,2019-01-30,8039829.0,2.0
29,29,2020-01-30,3,7529076.0,8141415.0,2019-01-31,7899350.0,3.0
30,30,2020-01-31,4,7641869.0,8492225.0,2019-02-01,7979109.0,4.0
31,31,2020-02-01,5,4911125.0,6400595.0,2019-02-02,5079486.0,5.0
32,32,2020-02-02,6,3512904.0,4533571.0,2019-02-03,3412440.0,6.0
33,33,2020-02-03,0,7007625.0,7931538.0,2019-02-04,2941955.0,0.0
34,34,2020-02-04,1,7082056.0,8051486.0,2019-02-05,2837335.0,1.0
35,35,2020-02-05,2,6902894.0,8124059.0,2019-02-06,3741895.0,2.0
36,36,2020-02-06,3,6821778.0,8141415.0,2019-02-07,7401179.0,3.0
37,37,2020-02-07,4,7191742.0,8492225.0,2019-02-08,7913111.0,4.0
38,38,2020-02-08,5,4690115.0,6400595.0,2019-02-09,6002458.0,5.0
39,39,2020-02-09,6,3451571.0,4533571.0,2019-02-10,4360767.0,6.0
40,40,2020-02-10,0,6966442.0,7931538.0,2019-02-11,7942263.0,0.0
41,41,2020-02-11,1,7192604.0,8051486.0,2019-02-12,8084200.0,1.0
42,42,2020-02-12,2,6981076.0,8124059.0,2019-02-13,8163495.0,2.0
43,43,2020-02-13,3,7311679.0,8141415.0,2019-02-14,8255961.0,3.0
44,44,2020-02-14,4,7720695.0,8492225.0,2019-02-15,8594706.0,4.0
45,45,2020-02-15,5,5277149.0,6400595.0,2019-02-16,6619046.0,5.0
46,46,2020-02-16,6,3674194.0,4533571.0,2019-02-17,4745767.0,6.0
47,47,2020-02-17,0,7197144.0,7931538.0,2019-02-18,8000117.0,0.0
48,48,2020-02-18,1,7205498.0,8051486.0,2019-02-19,8046652.0,1.0
49,49,2020-02-19,2,7306690.0,8124059.0,2019-02-20,8226686.0,2.0
50,50,2020-02-20,3,7168504.0,8141415.0,2019-02-21,8272500.0,3.0
51,51,2020-02-21,4,7038538.0,8492225.0,2019-02-22,8613525.0,4.0
52,52,2020-02-22,5,4153989.0,6400595.0,2019-02-23,6803807.0,5.0
53,53,2020-02-23,6,2743837.0,4533571.0,2019-02-24,4985414.0,6.0
54,54,2020-02-24,0,5932806.0,7931538.0,2019-02-25,8120066.0,0.0
55,55,2020-02-25,1,5441771.0,8051486.0,2019-02-26,8265465.0,1.0
56,56,2020-02-26,2,5452346.0,8124059.0,2019-02-27,8345186.0,2.0
57,57,2020-02-27,3,5286459.0,8141415.0,2019-02-28,8581221.0,3.0
58,58,2020-02-28,4,5110196.0,8492225.0,2019-03-01,5930573.0,4.0
59,60,2020-03-01,6,1876648.0,4533571.0,2019-03-02,5921798.0,5.0
60,61,2020-03-02,0,5055967.0,7931538.0,2019-03-03,4647568.0,6.0
61,62,2020-03-03,1,5057314.0,8051486.0,2019-03-04,8201102.0,0.0
62,63,2020-03-04,2,5039210.0,8124059.0,2019-03-05,8251245.0,1.0
63,64,2020-03-05,3,5069053.0,8141415.0,2019-03-06,8378284.0,2.0
64,65,2020-03-06,4,5260545.0,8492225.0,2019-03-07,8603259.0,3.0
65,66,2020-03-07,5,3040950.0,6400595.0,2019-03-08,8989634.0,4.0
66,67,2020-03-08,6,2140678.0,4533571.0,2019-03-09,6954483.0,5.0
67,68,2020-03-09,0,5321127.0,7931538.0,2019-03-10,4881761.0,6.0
68,69,2020-03-10,1,5066217.0,8051486.0,2019-03-11,8382567.0,0.0
69,70,2020-03-11,2,5241419.0,8124059.0,2019-03-12,8390888.0,1.0
70,71,2020-03-12,3,5145065.0,8141415.0,2019-03-13,8513096.0,2.0
71,72,2020-03-13,4,5290910.0,8492225.0,2019-03-14,8610202.0,3.0
72,73,2020-03-14,5,3164614.0,6400595.0,2019-03-15,8822074.0,4.0
73,74,2020-03-15,6,2119053.0,4533571.0,2019-03-16,6819792.0,5.0
74,75,2020-03-16,0,5213484.0,7931538.0,2019-03-17,5080663.0,6.0
75,76,2020-03-17,1,5199422.0,8051486.0,2019-03-18,8367946.0,0.0
76,77,2020-03-18,2,5361366.0,8124059.0,2019-03-19,8544193.0,1.0
77,78,2020-03-19,3,5097671.0,8141415.0,2019-03-20,8394513.0,2.0
78,79,2020-03-20,4,5572310.0,8492225.0,2019-03-21,8527999.0,3.0
79,80,2020-03-21,5,3322693.0,6400595.0,2019-03-22,8919986.0,4.0
80,81,2020-03-22,6,2315902.0,4533571.0,2019-03-23,6567232.0,5.0
81,82,2020-03-23,0,5358156.0,7931538.0,2019-03-24,4958816.0,6.0
82,83,2020-03-24,1,5377448.0,8051486.0,2019-03-25,8317220.0,0.0
83,84,2020-03-25,2,5465540.0,8124059.0,2019-03-26,8574736.0,1.0
84,85,2020-03-26,3,5322387.0,8141415.0,2019-03-27,8533735.0,2.0
85,86,2020-03-27,4,5562634.0,8492225.0,2019-03-28,8609202.0,3.0
86,87,2020-03-28,5,3390527.0,6400595.0,2019-03-29,8982834.0,4.0
87,88,2020-03-29,6,2362676.0,4533571.0,2019-03-30,6394876.0,5.0
88,89,2020-03-30,0,5426066.0,7931538.0,2019-03-31,4741000.0,6.0
89,90,2020-03-31,1,5449727.0,8051486.0,2019-04-01,8261837.0,0.0
90,91,2020-04-01,2,5463892.0,8124059.0,2019-04-02,8406365.0,1.0
91,92,2020-04-02,3,5449915.0,8141415.0,2019-04-03,8527790.0,2.0
92,93,2020-04-03,4,5680884.0,8492225.0,2019-04-04,8600061.0,3.0
93,94,2020-04-04,5,3434007.0,6400595.0,2019-04-05,8941522.0,4.0
94,95,2020-04-05,6,2370375.0,4533571.0,2019-04-06,6635470.0,5.0
95,96,2020-04-06,0,5577891.0,7931538.0,2019-04-07,5359816.0,6.0
96,97,2020-04-07,1,5606422.0,8051486.0,2019-04-08,8482826.0,0.0
97,98,2020-04-08,2,5638965.0,8124059.0,2019-04-09,8418130.0,1.0
98,99,2020-04-09,3,5628249.0,8141415.0,2019-04-10,8372841.0,2.0
99,100,2020-04-10,4,5831543.0,8492225.0,2019-04-11,8702077.0,3.0
100,101,2020-04-11,5,3591463.0,6400595.0,2019-04-12,9012472.0,4.0
101,102,2020-04-12,6,2461904.0,4533571.0,2019-04-13,7231605.0,5.0
102,103,2020-04-13,0,5696537.0,7931538.0,2019-04-14,4589747.0,6.0
103,104,2020-04-14,1,5885404.0,8051486.0,2019-04-15,8365436.0,0.0
104,105,2020-04-15,2,3156830.0,8124059.0,2019-04-16,8527784.0,1.0
105,106,2020-04-16,3,5778918.0,8141415.0,2019-04-17,8595810.0,2.0
106,107,2020-04-17,4,5750910.0,8492225.0,2019-04-18,8422846.0,3.0
107,108,2020-04-18,5,3889273.0,6400595.0,2019-04-19,8785636.0,4.0
108,109,2020-04-19,6,2486326.0,4533571.0,2019-04-20,6734643.0,5.0
109,110,2020-04-20,0,5823760.0,7931538.0,2019-04-21,4789775.0,6.0
110,111,2020-04-21,1,5947839.0,8051486.0,2019-04-22,8277904.0,0.0
111,112,2020-04-22,2,5907995.0,8124059.0,2019-04-23,8320434.0,1.0
112,113,2020-04-23,3,6014690.0,8141415.0,2019-04-24,8500676.0,2.0
113,114,2020-04-24,4,6332425.0,8492225.0,2019-04-25,8422596.0,3.0
114,115,2020-04-25,5,4102675.0,6400595.0,2019-04-26,8859387.0,4.0
115,116,2020-04-26,6,2922255.0,4533571.0,2019-04-27,7265901.0,5.0
116,117,2020-04-27,0,6133020.0,7931538.0,2019-04-28,5133257.0,6.0
117,118,2020-04-28,1,6257478.0,8051486.0,2019-04-29,8484332.0,0.0
118,119,2020-04-29,2,6551960.0,8124059.0,2019-04-30,8899595.0,1.0
